Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
646885,466521,600270,436539,1247155,903060
825706,550327,764922,499115,1590628,1049442
696514,383079,616031,329892,1312545,712971
870016,535513,769613,489393,1639629,1024906
811986,531267,703151,438730,1515137,969997
1032005,642644,857989,501258,1889994,1143902
868783,562894,779681,486889,1648464,1049783
811632,548176,770033,500964,1581665,1049140
583444,403528,569126,391758,1152570,795286
565544,373120,546308,363835,1111852,736955
578883,333938,540261,317522,1119144,651460
890010,523454,755947,453869,1645957,977323
812487,515008,706344,452144,1518831,967152
746113,564257,696183,506846,1442296,1071103
807598,570120,773419,508427,1581017,1078547
793338,561781,775282,517529,1568620,1079310
847815,521565,774820,445192,1622635,966757
878311,523062,843679,474576,1721990,997638
835969,508764,825637,460125,1661606,968889
839154,506363,761808,453021,1600962,959384
770316,526001,764789,480507,1535105,1006508
750789,542128,737156,503644,1487945,1045772
807076,595257,751673,520711,1558749,1115968
809486,562991,769538,478235,1579024,1041226
742865,521541,707734,479497,1450599,1001038
772126,581292,750586,533576,1522712,1114868
778767,572407,783474,556601,1562241,1129008
679286,511470,708009,522638,1387295,1034108
789668,586090,771668,561082,1561336,1147172
774500,595647,790781,611827,1565281,1207474
844864,573250,816408,523249,1661272,1096499
764561,565612,753957,535872,1518518,1101484
839052,604906,830210,587732,1669262,1192638
867893,598003,855241,561591,1723134,1159594
789383,585209,766396,547820,1555779,1133029
1135845,758619,1054552,696625,2190397,1455244
1260356,721638,1141116,635080,2401472,1356718
1010586,574475,921077,500114,1931663,1074589
1051316,597291,948566,516435,1999882,1113726
843740,653492,814602,609782,1658342,1263274
755450,582601,737525,544722,1492975,1127323
595047,459537,648683,514678,1243730,974215
548454,439557,621812,507560,1170266,947117
561168,437556,621336,521786,1182504,959342
614822,454300,634598,460706,1249420,915006
571709,457548,610775,485461,1182484,943009
598207,415980,600237,437487,1198444,853467
574106,405116,606683,466476,1180789,871592
587379,444510,621379,465812,1208758,910322
591950,452858,624401,474370,1216351,927228
606518,434202,668770,486303,1275288,920505
565081,436712,585410,447321,1150491,884033
565809,428565,590658,422269,1156467,850834
578849,425049,579886,394717,1158735,819766
573571,426879,587892,404757,1161463,831636
611877,477885,659447,519579,1271324,997464
592702,416969,659966,472091,1252668,889060
631495,425771,692411,443681,1323906,869452
575296,408322,644119,470734,1219415,879056
575780,396246,675618,463104,1251398,859350
614438,434623,658310,438816,1272748,873439
25433,21585,24489,21654,49922,43239
938466,538708,764026,315571,1702492,854279
890851,469603,707318,259481,1598169,729084
1024155,595934,852848,394978,1877003,990912
857328,581485,748291,395144,1605619,976629
815357,536674,704827,355255,1520184,891929
820908,466689,708095,299632,1529003,766321
882506,557919,768600,354161,1651106,912080
907312,517341,795482,357136,1702794,874477
772026,499928,686058,413516,1458084,913444
821800,457663,722919,372339,1544719,830002
915700,548026,820350,441370,1736050,989396
806945,527939,754376,440579,1561321,968518
897949,558617,813734,443567,1711683,1002184
925971,641915,898453,576603,1824424,1218518
822667,571601,807102,541763,1629769,1113364
721482,584759,679795,522739,1401277,1107498
835492,593957,732635,437218,1568127,1031175
872410,621326,761960,452147,1634370,1073473
1039004,639683,917932,490499,1956936,1130182
827001,598652,751747,412072,1578748,1010724
843555,654121,773660,489847,1617215,1143968
790889,571525,734592,444880,1525481,1016405
838076,640484,788495,520865,1626571,1161349
860947,570248,841701,512433,1702648,1082681
858093,586865,810348,489951,1668441,1076816
1106461,736759,1008842,580058,2115303,1316817
866897,614411,836374,538114,1703271,1152525
912747,677574,846663,579753,1759410,1257327
836835,574150,770987,473569,1607822,1047719
852379,584580,820336,532096,1672715,1116676
878610,543252,795859,439831,1674469,983083
909027,594892,798906,395440,1707933,990332
842682,554159,750688,455054,1593370,1009213
845547,535993,750687,442633,1596234,978626
869922,544432,776541,434059,1646463,978491
848050,556250,763315,447811,1611365,1004061
817514,554658,747039,458787,1564553,1013445
887157,576939,790088,473377,1677245,1050316
979995,579529,920792,505529,1900787,1085058
841442,615957,814842,581239,1656284,1197196
753927,537086,715840,490043,1469767,1027129
921099,602923,832591,506820,1753690,1109743
916049,585785,827449,447164,1743498,1032949
839540,576774,746654,474390,1586194,1051164
878553,549945,808504,463405,1687057,1013350
945899,637950,857893,524283,1803792,1162233
866726,596359,745328,469900,1612054,1066259
846023,554669,743370,428264,1589393,982933
808018,546989,722121,423193,1530139,970182
850457,524572,742780,412833,1593237,937405
830432,532639,747645,459979,1578077,992618
945405,503035,751184,372570,1696589,875605
1045495,470781,876551,353415,1922046,824196
1142158,591189,931284,463000,2073442,1054189
972645,527803,811225,418759,1783870,946562
986908,503191,788520,392326,1775428,895517
923016,485775,745341,375986,1668357,861761
967474,472265,771420,373027,1738894,845292
793801,424521,654084,344539,1447885,769060
828964,437435,656882,343280,1485846,780715
752491,485586,780290,502180,1532781,987766
1035960,647176,917781,527159,1953741,1174335
949567,533686,886269,459588,1835836,993274
960387,602604,853156,463952,1813543,1066556
973236,613828,850876,475678,1824112,1089506
898819,595960,800589,466358,1699408,1062318
765921,520229,693791,412416,1459712,932645
963462,681038,829188,551164,1792650,1232202
932838,612411,793955,505740,1726793,1118151
897919,578053,784688,479103,1682607,1057156
893736,527346,809019,423855,1702755,951201
912736,595626,814572,483993,1727308,1079619
861582,558707,787525,487952,1649107,1046659
884020,519692,835978,456989,1719998,976681
665668,444364,701693,451892,1367361,896256
909326,664298,848974,595991,1758300,1260289
850574,631647,780024,557224,1630598,1188871
417122,306721,438237,334150,855359,640871
454309,378706,464657,393060,918966,771766
480409,292944,500331,327043,980740,619987
297230,231830,289271,226241,586501,458071
346219,216167,355951,217034,702170,433201
600490,529325,582458,509585,1182948,1038910
791317,550825,655911,431038,1447228,981863
1079406,741003,878301,576335,1957707,1317338
1023325,676648,806253,519688,1829578,1196336
830322,546295,659825,423517,1490147,969812
1212553,756939,981872,599097,2194425,1356036
1108886,743406,930524,604565,2039410,1347971
1005289,638406,747452,464004,1752741,1102410
751140,595911,679577,527390,1430717,1123301
718689,515665,691843,495046,1410532,1010711
669036,505640,628062,478669,1297098,984309
691369,550822,655314,533047,1346683,1083869
670100,523329,657455,530070,1327555,1053399
709342,531966,656876,517484,1366218,1049450
774566,537966,694932,543373,1469498,1081339
696385,511297,607348,469138,1303733,980435
722328,551897,641139,490204,1363467,1042101
814968,605802,748057,564603,1563025,1170405
750694,568938,723441,548598,1474135,1117536
645875,512721,651335,509451,1297210,1022172
582340,417777,561262,421638,1143602,839415
731918,522770,639699,455834,1371617,978604
828491,580768,726953,560231,1555444,1140999
797923,588605,701750,543327,1499673,1131932
742939,540898,661642,498491,1404581,1039389
835850,483992,691918,407830,1527768,891822
750999,449485,657781,446796,1408780,896281
680089,451051,654179,454311,1334268,905362
629268,485223,671169,504221,1300437,989444
432048,351360,469309,388657,901357,740017
784477,532819,715860,509880,1500337,1042699
779164,537641,698098,469555,1477262,1007196
817062,536595,746194,503923,1563256,1040518
808530,532246,742967,508516,1551497,1040762
762065,473343,723221,487954,1485286,961297
817186,554256,747535,532307,1564721,1086563
835632,600960,725569,499497,1561201,1100457
740390,551251,656567,479703,1396957,1030954
768206,548771,686869,483336,1455075,1032107
808857,590511,713254,514901,1522111,1105412
813119,627099,712170,549668,1525289,1176767
758197,583487,666546,515980,1424743,1099467
834231,593646,746042,527287,1580273,1120933
909749,681063,808672,575743,1718421,1256806
847064,526983,744004,402768,1591068,929751
928040,600164,825785,530940,1753825,1131104
893354,524368,803434,482097,1696788,1006465
944231,555682,826193,510068,1770424,1065750
906275,554084,793187,459607,1699462,1013691
1047468,716874,910350,579932,1957818,1296806
871339,587242,756728,475063,1628067,1062305
911069,548105,775828,414327,1686897,962432
845665,491661,703997,354280,1549662,845941
814648,519866,709447,410626,1524095,930492
910730,583685,800045,459355,1710775,1043040
869354,614697,813938,541617,1683292,1156314
886731,532331,791931,471688,1678662,1004019
994082,581099,898948,514488,1893030,1095587
910466,600132,816897,478466,1727363,1078598
895593,655642,781989,563477,1677582,1219119
964047,581038,860921,506234,1824968,1087272
